,행정구역,학원이름,주소,상세주소,위도,경도,분야명
0,동대문구,한국이용학원,서울특별시 동대문구 왕산로33길 32,", 2층  (제기동)",37.5813124,127.0418065,직업기술
1,동대문구,대성회계실무학원,서울특별시 동대문구 왕산로 225,", 5층2호?5층6호?5층7호 중 일부(B호) (청량리동, 미주상가)",37.5820441,127.0472342,종합(대)
2,동대문구,국제전자과학학원,서울특별시 동대문구 고산자로36길 3,", 3층 일부 (제기동, 경동시장)",37.5791791,127.0398099,직업기술
3,동대문구,조이앤플레이음악학원,서울특별시 동대문구 이문로 38,", 3층 301호 (휘경동, 민족통일빌딩)",37.5951782,127.0593706,예능(대)
4,동대문구,한독자동차정비학원,서울특별시 동대문구 왕산로 31,", 2층,3층 (신설동)",37.5774132,127.0295723,직업기술
5,동대문구,장안로드맵수학학원,서울특별시 동대문구 한천로 124,", 2층 202호 (장안동)",37.5995567,127.0675418,입시.검정 및 보습
6,동대문구,더하이스트수학학원,서울특별시 동대문구 사가정로 190,", 상가4층 8,9호 (전농동, 전농우성아파트)",37.5701008,127.0489781,입시.검정 및 보습
7,동대문구,미래사관학원,서울특별시 동대문구 천호대로16길 12,3층4층 (용두동),37.5723504,127.0315105,입시.검정 및 보습
8,동대문구,주미음악학원,서울특별시 동대문구 장한로30길 31,3층 (장안동),37.5742647,127.0739256,예능(대)
9,동대문구,새암음악학원,서울특별시 동대문구 답십리로72길 118,5층 (장안동),37.5688334,127.0729248,예능(대)
10,동대문구,예술의악당음악학원,서울특별시 동대문구 이문로1길 16-3,", 2층 (회기동)",37.5889719,127.0537317,예능(대)
11,동대문구,루체음악학원,서울특별시 동대문구 천호대로77길 89,2층 (장안동),37.5645133,127.0623478,예능(대)
12,동대문구,맨하탄학원,서울특별시 동대문구 황물로 42,", 2층일부 (답십리동)",37.5710005,127.0496624,입시.검정 및 보습
13,동대문구,한영보습학원,서울특별시 동대문구 답십리로23길 59,(2층) (전농동),37.5774527,127.0506786,입시.검정 및 보습
14,동대문구,수학엠플러스학원,서울특별시 동대문구 한천로 165,", 3층 일부 (답십리동)",37.5702311,127.0642937,입시.검정 및 보습
15,동대문구,대우건축토목학원,서울특별시 동대문구 하정로 36,", 5층  (신설동)",37.5728754,127.0272069,직업기술
16,동대문구,진주컴퓨터학원,서울특별시 동대문구 홍릉로15길 43,", 2층 (제기동)",37.5852717,127.0416142,기타(대)
17,동대문구,SDA삼육외국어학원,서울특별시 동대문구 망우로18길 33,", 가동 1층?2층 (휘경동)",37.5884345,127.0627235,종합(대)
18,동대문구,교원더퍼스트캠퍼스학원,서울특별시 동대문구 이문로 65,", 2층 및 3층 일부 (이문동)",37.5951782,127.0593706,입시.검정 및 보습
19,동대문구,미시간캠퍼스어학원,서울특별시 동대문구 휘경로 39,4층일부 (이문동),37.5948895,127.06431037460806,국제화
20,동대문구,수재학원,서울특별시 동대문구 답십리로 133,", 1층, 2층 (답십리동)",37.5765595,127.0465065,입시.검정 및 보습
21,동대문구,수정음악학원,서울특별시 동대문구 답십리로66길 99,(2층) (장안동),37.5688153,127.0676829,예능(대)
22,동대문구,이문보습학원,서울특별시 동대문구 한천로 481,", 2층  (이문동)",37.5702311,127.0642937,입시.검정 및 보습
23,동대문구,중앙플러스학원,서울특별시 동대문구 천호대로77길 94,2층 (장안동),37.5645133,127.0623478,입시.검정 및 보습
24,동대문구,교우보습학원,서울특별시 동대문구 사가정로 93,", 3층일부 (전농동,동광교회)",37.5701008,127.0489781,입시.검정 및 보습
25,동대문구,이화포르테미술학원,서울특별시 동대문구 답십리로72길 112,2층 (장안동),37.5688334,127.0729248,예능(대)
26,동대문구,예솔피아노학원,서울특별시 동대문구 제기로 131,"한신아파트 상가121동3층306,307,308호 (청량리동)",37.5875129,127.04764207708357,예능(대)
27,동대문구,이레음악학원,서울특별시 동대문구 제기로 131,한신A.상가122동4층 (청량리동),37.5875129,127.04764207708357,예능(대)
28,동대문구,한양음악학원,서울특별시 동대문구 한천로 246,", 유치원동 4층일부 (휘경동,주공아파트)",37.582816300000005,127.0687545468601,예능(대)
29,동대문구,씨앤씨어학원,서울특별시 동대문구 전농로 60,", 2층, 3층, 4층 (답십리동, 상원빌딩)",37.5836734,127.0533383,국제화
30,동대문구,에프엠(FM)최강수학학원,서울특별시 동대문구 전농로 120,", 2층 (전농동)",37.5836734,127.0533383,입시.검정 및 보습
31,동대문구,신등용문보습학원,서울특별시 동대문구 경희대로4길 79,", 2층 (이문동)",37.5913675,127.0567283,입시.검정 및 보습
32,동대문구,덕수컴퓨터회계학원,서울특별시 동대문구 전농로 135,(3층4층) (전농동),37.56888,127.0571,종합(대)
33,동대문구,오경숙음악학원,서울특별시 동대문구 사가정로 148,", 409,410호 (전농동, 전농 SK아파트 주상가동)",37.5701008,127.0489781,예능(대)
34,동대문구,PJY실용음악학원,서울특별시 동대문구 사가정로 148,", 상가동414호 (전농동, 전농 SK아파트)",37.5701008,127.0489781,예능(대)
35,동대문구,서울음악학원,서울특별시 동대문구 답십리로56길 21,", 상가 304호 (답십리동, 두산아파트)",37.5687047,127.0587649,예능(대)
36,동대문구,수학을읽다학원,서울특별시 동대문구 답십리로69길 8,", 3층우측 (장안동)",37.572703,127.0740001,입시.검정 및 보습
37,동대문구,성신음악전문학원,서울특별시 동대문구 서울시립대로4길 35,", 2층 (답십리동)",37.5747236,127.0473065,예능(대)
38,동대문구,연세학원,서울특별시 동대문구 사가정로 148,", 주상가동 412-2호  (전농동,전농 SK아파트)",37.5701008,127.0489781,입시.검정 및 보습
39,동대문구,동부연세피아노학원,서울특별시 동대문구 왕산로43나길 20,1층 (청량리동),37.5856013,127.0477732,예능(대)
40,동대문구,김영애음악학원,서울특별시 동대문구 한천로58길 47,", 상가동 401호 (이문동, 쌍용아파트)",37.5986527,127.06883,예능(대)
41,동대문구,예일어학원,서울특별시 동대문구 답십리로 238,2층3층4층 (장안동),37.5765595,127.0465065,국제화
42,동대문구,신서울(I.N)아이엔학원,서울특별시 동대문구 무학로42길 45,", 3층 (제기동)",37.5819681,127.0304292,입시.검정 및 보습
43,동대문구,예인학원,서울특별시 동대문구 한천로 97,", 3층 (답십리동)",37.5702311,127.0642937,입시.검정 및 보습
44,동대문구,교일학원,서울특별시 동대문구 약령시로 16,", 2층일부 (제기동)",37.5828182,127.0351019,입시.검정 및 보습
45,동대문구,에꼴드에땅장안미술학원,서울특별시 동대문구 장한로28길 14,",  2층 (장안동)",37.572841749999995,127.07270085921036,예능(대)
46,동대문구,스토리영어EM학원,서울특별시 동대문구 장한로28길 48,", 2층일부 (장안동)",37.572664950000004,127.07461485,입시.검정 및 보습
47,동대문구,에이펙스학원,서울특별시 동대문구 답십리로72길 118,4층 (장안동),37.5688334,127.0729248,입시.검정 및 보습
48,동대문구,포르테음악학원,서울특별시 동대문구 한천로11길 10-1,동아아파트 상가2동302호 (답십리동),37.5671421,127.0588169,예능(대)
49,동대문구,이보영의토킹클럽장안학원,서울특별시 동대문구 답십리로69길 8,", 401호 (장안동,장안동 근린생활시설)",37.572703,127.0740001,입시.검정 및 보습
50,동대문구,하이든음악학원,서울특별시 동대문구 약령시로 25,", 상가1동 204호,207호,208호 (제기동,안암골 벽산아파트)",37.5828182,127.0351019,예능(대)
51,동대문구,사랑음악교습소,서울특별시 동대문구 한천로11길 28,", 1층일부 (답십리동)",37.5671421,127.0588169,예능(대)
52,동대문구,달크로즈뮤직슐레음악학원,서울특별시 동대문구 답십리로69길 55,웰빙프라자402호 (장안동),37.5747609,127.0739723,예능(대)
53,동대문구,대화단과학원,서울특별시 동대문구 사가정로 97,", 한성빌딩 2층 (전농동)",37.5701008,127.0489781,입시.검정 및 보습
54,동대문구,3관수학생각학원,서울특별시 동대문구 장한로28길 50,", 3층 일부 (장안동)",37.5726621,127.0747791,입시.검정 및 보습
55,동대문구,신답점뮤엠영어교습소,서울특별시 동대문구 서울시립대로 31,", 102동 상가동 208호 (전농동, 동아아파트)",37.5760293,127.0471019,입시.검정 및 보습
56,동대문구,153수학교습소,서울특별시 동대문구 이문로16길 18,"래미안2차아파트 상가동201호, 203호 (이문동)",37.5942119,127.0602229,입시.검정 및 보습
57,동대문구,이보영의토킹클럽전농보습학원,서울특별시 동대문구 사가정로 148,", 주상가동 309호 (전농동,전농 SK아파트)",37.5701008,127.0489781,입시.검정 및 보습
58,동대문구,하바놀이어학원,서울특별시 동대문구 답십리로69길 55,", 304호 (장안동,웰빙프라자)",37.5747609,127.0739723,국제화
59,동대문구,청담어학원,서울특별시 동대문구 한천로 124,", 3층,4층 (장안동,장안동 근린생활시설)",37.5995567,127.0675418,국제화
60,동대문구,엘리트영어교습소,서울특별시 동대문구 장한로 160,", 3층 309호 (장안동)",37.561392,127.064624,입시.검정 및 보습
61,동대문구,이화포르테리틀밥영어교습소,서울특별시 동대문구 답십리로72길 112,1층 (장안동),37.5688334,127.0729248,입시.검정 및 보습
62,동대문구,이화포르테음악학원,서울특별시 동대문구 답십리로72길 112,", 3층 (장안동)",37.5688334,127.0729248,예능(대)
63,동대문구,SBS아카데미뷰티스쿨(동대문1캠퍼스)학원,서울특별시 동대문구 왕산로 4,", 512호 (신설동)",37.5811037,127.04845240270879,직업기술
64,동대문구,나루네논술교습소,서울특별시 동대문구 제기로 131,한신아파트 상가304호 (청량리동),37.5875129,127.04764207708357,입시.검정 및 보습
65,동대문구,수도학원,서울특별시 동대문구 보문로 6,", 1층 일부, 5층, 6층 (신설동)",37.5761363837871,127.023530607859,입시.검정 및 보습
66,동대문구,서울용접배관기술학원,서울특별시 동대문구 왕산로 9-1,", 5층 (신설동)",37.5774132,127.0295723,직업기술
67,동대문구,티움미술교습소,서울특별시 동대문구 답십리로69길 55,웰빙프라자1층113호 (장안동),37.5747609,127.0739723,예능(대)
68,동대문구,뮤즈무용학원,서울특별시 동대문구 사가정로 150,4층 (전농동),37.5701008,127.0489781,예능(대)
69,동대문구,레미음악학원,서울특별시 동대문구 약령시로 16,1층 (제기동),37.5828182,127.0351019,예능(대)
70,동대문구,옳음에듀학원,서울특별시 동대문구 천호대로 155,3층 (용두동),37.5620882,127.0611565,입시.검정 및 보습
71,동대문구,필탑학원,서울특별시 동대문구 전농로 51,",2층,3층 (답십리동)",37.5836734,127.0533383,입시.검정 및 보습
72,동대문구,AM뮤직(music)음악학원,서울특별시 동대문구 한천로 264,주공프라자상가2층202호 (휘경동),37.5702311,127.0642937,예능(대)
73,동대문구,리틀쇼팽음악교습소,서울특별시 동대문구 천호대로91길 38,", 2층일부 (장안동)",37.563368,127.0695613,예능(대)
74,동대문구,공간미술교습소,서울특별시 동대문구 제기로 131,", 205호, 206호 (청량리동, 한신아파트)",37.5875129,127.04764207708357,예능(대)
75,동대문구,비움채움아트미술교습소,서울특별시 동대문구 사가정로 80,", 2층 216호 (답십리동)",37.5701008,127.0489781,예능(대)
76,동대문구,대성독서논술리딩게임논술교습소,서울특별시 동대문구 서울시립대로 31,동아아파트 상가 206호 (전농동),37.5760293,127.0471019,입시.검정 및 보습
77,동대문구,꽃들음악교습소,서울특별시 동대문구 한천로33길 26,1층일부 (장안동),37.5775414,127.0668073,예능(대)
78,동대문구,고은소리피아노음악학원,서울특별시 동대문구 사가정로23가길 19,2층 (장안동),37.580593949999994,127.07094239109196,예능(대)
79,동대문구,리드앤톡영어독서학원,서울특별시 동대문구 답십리로69길 55,"웰빙프라자4층,403호 (장안동)",37.5747609,127.0739723,입시.검정 및 보습
80,동대문구,강의하는아이들위너스장안캠퍼스학원,서울특별시 동대문구 장안벚꽃로 107,", 301호일부,305호 (장안동, 장안현대홈타운)",37.577223,127.076452,입시.검정 및 보습
81,동대문구,오예진피아노교습소,서울특별시 동대문구 전농로36나길 4,1층일부 (전농동),37.5850477,127.0533073,예능(대)
82,동대문구,해오름피아노교습소,서울특별시 동대문구 장한로18길 40,4층 (장안동),37.5672493,127.0717396,예능(대)
83,동대문구,꿈을그리는미술교습소,서울특별시 동대문구 사가정로 148,SK@주상가동138동304-1호 (전농동),37.5701008,127.0489781,예능(대)
84,동대문구,리틀엔젤음악교습소,서울특별시 동대문구 망우로10길 43,1층(일부) (휘경동),37.5883167,127.0576767,예능(대)
85,동대문구,멘토수학교습소,서울특별시 동대문구 약령중앙로 55,1층일부 (제기동),37.5820846,127.0372245,입시.검정 및 보습
86,동대문구,한건이엔씨영어학원,서울특별시 동대문구 답십리로 255,", 4층 일부(우측)?5층?6층 일부 (장안동)",37.5765595,127.0465065,입시.검정 및 보습
87,동대문구,CDI에이프릴(April)어학원,서울특별시 동대문구 답십리로69길 55,", 201호~205호?208호 (장안동)",37.5747609,127.0739723,국제화
88,동대문구,플러스수학학원,서울특별시 동대문구 이문로 88-13,", 3층 (이문동)",37.5951782,127.0593706,입시.검정 및 보습
89,동대문구,지해수학교습소,서울특별시 동대문구 경희대로4길 74,", 3층 (회기동)",37.5913675,127.0567283,입시.검정 및 보습
90,동대문구,공간R미술교습소,서울특별시 동대문구 서울시립대로12길 28,", 2층 (전농동)",37.5781315,127.0514229,예능(대)
91,동대문구,라이즈수학학원,서울특별시 동대문구 답십리로 272,", 3층일부 (장안동)",37.5765595,127.0465065,입시.검정 및 보습
92,동대문구,튼튼영어마스터클럽영어교습소,서울특별시 동대문구 망우로 95,휘경롯데아파트 상가동 102호 (휘경동),37.5881081,127.0542659,입시.검정 및 보습
93,동대문구,KBS아트비전미용학원,서울특별시 동대문구 왕산로 225,5층15호.16호 (청량리동),37.5820441,127.0472342,직업기술
94,동대문구,꿈꾸는화가들미술교습소,서울특별시 동대문구 이문로 47,", 2층 201호 일부 (이문동, 자인M TOWER)",37.5951782,127.0593706,예능(대)
95,동대문구,엔젤스(Angels)음악교습소,서울특별시 동대문구 무학로26길 19,2층 (용두동),37.573361,127.0324431,예능(대)
96,동대문구,나래피아노음악교습소,서울특별시 동대문구 이문로42길 5,", 1층 일부 (이문동)",37.6007601,127.0665914,예능(대)
97,동대문구,청송음악교습소,서울특별시 동대문구 답십리로66길 17,2층 (장안동),37.5688153,127.0676829,예능(대)
98,동대문구,소아서예교습소,서울특별시 동대문구 답십리로 66,", 301호 (전농동)",37.5765595,127.0465065,기타(대)
99,동대문구,우미영음악교습소,서울특별시 동대문구 서울시립대로12길 43,", 3층 (전농동 222-6)",37.5781315,127.0514229,예능(대)
100,동대문구,열린음악교습소,서울특별시 동대문구 한천로39길 27,2층(전농동),37.5779649,127.0672604,예능(대)
101,동대문구,상상아이미술창작소미술교습소,서울특별시 동대문구 약령시로 11,2층 (제기동),37.5828182,127.0351019,예능(대)
102,동대문구,샤인미술교습소,서울특별시 동대문구 서울시립대로 31,동아아파트 102동상가110호 (전농동),37.5760293,127.0471019,예능(대)
103,동대문구,예당음악교습소,서울특별시 동대문구 이문로1길 8-5,", 1층 (회기동)",37.5889719,127.0537317,예능(대)
104,동대문구,경산서예교습소,서울특별시 동대문구 망우로 49,", 4층 일부 (휘경동)",37.5894528,127.0588022,기타(대)
105,동대문구,르네미술교습소,서울특별시 동대문구 망우로 95,", 상가동 1층 103호 (휘경동, 휘경동롯데아파트)",37.5881081,127.0542659,예능(대)
106,동대문구,모짜르트피아노교습소,서울특별시 동대문구 망우로16길 11-15,(2층) (휘경동),37.589550849999995,127.0624114138404,예능(대)
107,동대문구,예진서예교습소,서울특별시 동대문구 장한로5길 41,3층일부(우측) (장안동),37.5650384,127.0643419,기타(대)
108,동대문구,이레미술교습소,서울특별시 동대문구 회기로25길 55,2층 (이문동),37.5926088,127.0570019,예능(대)
109,동대문구,예화피아노음악교습소,서울특별시 동대문구 한천로17길 23,", 2층 (답십리동)",37.5697419,127.0632727,예능(대)
110,동대문구,삼성음악교습소,서울특별시 동대문구 전농로 192,전농동삼성아파트 상가204 (전농동),37.5836734,127.0533383,예능(대)
