행정구역명,학원/교습소,학원명,도로명주소,도로명상세주소,분야명,정원합계
동대문구,학원,한국이용학원,서울특별시 동대문구 왕산로33길 32,", 2층  (제기동)",직업기술,52
동대문구,학원,대성회계실무학원,서울특별시 동대문구 왕산로 225,", 5층2호?5층6호?5층7호 중 일부(B호) (청량리동, 미주상가)",종합(대),404
동대문구,학원,국제전자과학학원,서울특별시 동대문구 고산자로36길 3,", 3층 일부 (제기동, 경동시장)",직업기술,30
동대문구,학원,조이앤플레이음악학원,서울특별시 동대문구 이문로 38,", 3층 301호 (휘경동, 민족통일빌딩)",예능(대),98
동대문구,학원,한독자동차정비학원,서울특별시 동대문구 왕산로 31,", 2층,3층 (신설동)",직업기술,210
동대문구,학원,장안로드맵수학학원,서울특별시 동대문구 한천로 124,", 2층 202호 (장안동)",입시.검정 및 보습,140
동대문구,학원,더하이스트수학학원,서울특별시 동대문구 사가정로 190,", 상가4층 8,9호 (전농동, 전농우성아파트)",입시.검정 및 보습,180
동대문구,학원,미래사관학원,서울특별시 동대문구 천호대로16길 12,3층4층 (용두동),입시.검정 및 보습,114
동대문구,학원,주미음악학원,서울특별시 동대문구 장한로30길 31,3층 (장안동),예능(대),35
동대문구,학원,새암음악학원,서울특별시 동대문구 답십리로72길 118,5층 (장안동),예능(대),441
동대문구,학원,예술의악당음악학원,서울특별시 동대문구 이문로1길 16-3,", 2층 (회기동)",예능(대),460
동대문구,학원,루체음악학원,서울특별시 동대문구 천호대로77길 89,2층 (장안동),예능(대),180
동대문구,학원,맨하탄학원,서울특별시 동대문구 황물로 42,", 2층일부 (답십리동)",입시.검정 및 보습,80
동대문구,학원,한영보습학원,서울특별시 동대문구 답십리로23길 59,(2층) (전농동),입시.검정 및 보습,90
동대문구,학원,수학엠플러스학원,서울특별시 동대문구 한천로 165,", 3층 일부 (답십리동)",입시.검정 및 보습,84
동대문구,학원,대우건축토목학원,서울특별시 동대문구 하정로 36,", 5층  (신설동)",직업기술,2310
동대문구,학원,진주컴퓨터학원,서울특별시 동대문구 홍릉로15길 43,", 2층 (제기동)",기타(대),57
동대문구,학원,SDA삼육외국어학원,서울특별시 동대문구 망우로18길 33,", 가동 1층?2층 (휘경동)",종합(대),176
동대문구,학원,교원더퍼스트캠퍼스학원,서울특별시 동대문구 이문로 65,", 2층 및 3층 일부 (이문동)",입시.검정 및 보습,132
동대문구,학원,미시간캠퍼스어학원,서울특별시 동대문구 휘경로 39,4층일부 (이문동),국제화,60
동대문구,학원,수재학원,서울특별시 동대문구 답십리로 133,", 1층, 2층 (답십리동)",입시.검정 및 보습,370
동대문구,학원,수정음악학원,서울특별시 동대문구 답십리로66길 99,(2층) (장안동),예능(대),60
동대문구,학원,이문보습학원,서울특별시 동대문구 한천로 481,", 2층  (이문동)",입시.검정 및 보습,72
동대문구,학원,중앙플러스학원,서울특별시 동대문구 천호대로77길 94,2층 (장안동),입시.검정 및 보습,130
동대문구,학원,교우보습학원,서울특별시 동대문구 사가정로 93,", 3층일부 (전농동,동광교회)",입시.검정 및 보습,130
동대문구,학원,이화포르테미술학원,서울특별시 동대문구 답십리로72길 112,2층 (장안동),예능(대),15
동대문구,학원,예솔피아노학원,서울특별시 동대문구 제기로 131,"한신아파트 상가121동3층306,307,308호 (청량리동)",예능(대),160
동대문구,학원,이레음악학원,서울특별시 동대문구 제기로 131,한신A.상가122동4층 (청량리동),예능(대),13
동대문구,학원,한양음악학원,서울특별시 동대문구 한천로 246,", 유치원동 4층일부 (휘경동,주공아파트)",예능(대),380
동대문구,학원,씨앤씨어학원,서울특별시 동대문구 전농로 60,", 2층, 3층, 4층 (답십리동, 상원빌딩)",국제화,528
동대문구,학원,에프엠(FM)최강수학학원,서울특별시 동대문구 전농로 120,", 2층 (전농동)",입시.검정 및 보습,250
동대문구,학원,신등용문보습학원,서울특별시 동대문구 경희대로4길 79,", 2층 (이문동)",입시.검정 및 보습,160
동대문구,학원,덕수컴퓨터회계학원,서울특별시 동대문구 전농로 135,(3층4층) (전농동),종합(대),240
동대문구,학원,오경숙음악학원,서울특별시 동대문구 사가정로 148,", 409,410호 (전농동, 전농 SK아파트 주상가동)",예능(대),72
동대문구,학원,PJY실용음악학원,서울특별시 동대문구 사가정로 148,", 상가동414호 (전농동, 전농 SK아파트)",예능(대),110
동대문구,학원,서울음악학원,서울특별시 동대문구 답십리로56길 21,", 상가 304호 (답십리동, 두산아파트)",예능(대),210
동대문구,학원,수학을읽다학원,서울특별시 동대문구 답십리로69길 8,", 3층우측 (장안동)",입시.검정 및 보습,56
동대문구,학원,성신음악전문학원,서울특별시 동대문구 서울시립대로4길 35,", 2층 (답십리동)",예능(대),7
동대문구,학원,연세학원,서울특별시 동대문구 사가정로 148,", 주상가동 412-2호  (전농동,전농 SK아파트)",입시.검정 및 보습,73
동대문구,학원,동부연세피아노학원,서울특별시 동대문구 왕산로43나길 20,1층 (청량리동),예능(대),45
동대문구,학원,김영애음악학원,서울특별시 동대문구 한천로58길 47,", 상가동 401호 (이문동, 쌍용아파트)",예능(대),175
동대문구,학원,예일어학원,서울특별시 동대문구 답십리로 238,2층3층4층 (장안동),국제화,101
동대문구,학원,신서울(I.N)아이엔학원,서울특별시 동대문구 무학로42길 45,", 3층 (제기동)",입시.검정 및 보습,96
동대문구,학원,예인학원,서울특별시 동대문구 한천로 97,", 3층 (답십리동)",입시.검정 및 보습,100
동대문구,학원,교일학원,서울특별시 동대문구 약령시로 16,", 2층일부 (제기동)",입시.검정 및 보습,150
동대문구,학원,에꼴드에땅장안미술학원,서울특별시 동대문구 장한로28길 14,",  2층 (장안동)",예능(대),10
동대문구,학원,스토리영어EM학원,서울특별시 동대문구 장한로28길 48,", 2층일부 (장안동)",입시.검정 및 보습,150
동대문구,학원,에이펙스학원,서울특별시 동대문구 답십리로72길 118,4층 (장안동),입시.검정 및 보습,76
동대문구,학원,포르테음악학원,서울특별시 동대문구 한천로11길 10-1,동아아파트 상가2동302호 (답십리동),예능(대),60
동대문구,학원,이보영의토킹클럽장안학원,서울특별시 동대문구 답십리로69길 8,", 401호 (장안동,장안동 근린생활시설)",입시.검정 및 보습,32
동대문구,학원,하이든음악학원,서울특별시 동대문구 약령시로 25,", 상가1동 204호,207호,208호 (제기동,안암골 벽산아파트)",예능(대),103
동대문구,교습소,사랑음악교습소,서울특별시 동대문구 한천로11길 28,", 1층일부 (답십리동)",예능(대),55
동대문구,학원,달크로즈뮤직슐레음악학원,서울특별시 동대문구 답십리로69길 55,웰빙프라자402호 (장안동),예능(대),140
동대문구,학원,대화단과학원,서울특별시 동대문구 사가정로 97,", 한성빌딩 2층 (전농동)",입시.검정 및 보습,20
동대문구,학원,3관수학생각학원,서울특별시 동대문구 장한로28길 50,", 3층 일부 (장안동)",입시.검정 및 보습,90
동대문구,교습소,신답점뮤엠영어교습소,서울특별시 동대문구 서울시립대로 31,", 102동 상가동 208호 (전농동, 동아아파트)",입시.검정 및 보습,18
동대문구,교습소,153수학교습소,서울특별시 동대문구 이문로16길 18,"래미안2차아파트 상가동201호, 203호 (이문동)",입시.검정 및 보습,54
동대문구,학원,이보영의토킹클럽전농보습학원,서울특별시 동대문구 사가정로 148,", 주상가동 309호 (전농동,전농 SK아파트)",입시.검정 및 보습,52
동대문구,학원,하바놀이어학원,서울특별시 동대문구 답십리로69길 55,", 304호 (장안동,웰빙프라자)",국제화,100
동대문구,학원,청담어학원,서울특별시 동대문구 한천로 124,", 3층,4층 (장안동,장안동 근린생활시설)",국제화,30
동대문구,교습소,엘리트영어교습소,서울특별시 동대문구 장한로 160,", 3층 309호 (장안동)",입시.검정 및 보습,8
동대문구,교습소,이화포르테리틀밥영어교습소,서울특별시 동대문구 답십리로72길 112,1층 (장안동),입시.검정 및 보습,9
동대문구,학원,이화포르테음악학원,서울특별시 동대문구 답십리로72길 112,", 3층 (장안동)",예능(대),60
동대문구,학원,SBS아카데미뷰티스쿨(동대문1캠퍼스)학원,서울특별시 동대문구 왕산로 4,", 512호 (신설동)",직업기술,1152
동대문구,교습소,나루네논술교습소,서울특별시 동대문구 제기로 131,한신아파트 상가304호 (청량리동),입시.검정 및 보습,11
동대문구,학원,수도학원,서울특별시 동대문구 보문로 6,", 1층 일부, 5층, 6층 (신설동)",입시.검정 및 보습,360
동대문구,학원,서울용접배관기술학원,서울특별시 동대문구 왕산로 9-1,", 5층 (신설동)",직업기술,98
동대문구,교습소,티움미술교습소,서울특별시 동대문구 답십리로69길 55,웰빙프라자1층113호 (장안동),예능(대),24
동대문구,학원,뮤즈무용학원,서울특별시 동대문구 사가정로 150,4층 (전농동),예능(대),80
동대문구,학원,레미음악학원,서울특별시 동대문구 약령시로 16,1층 (제기동),예능(대),80
동대문구,학원,옳음에듀학원,서울특별시 동대문구 천호대로 155,3층 (용두동),입시.검정 및 보습,140
동대문구,학원,필탑학원,서울특별시 동대문구 전농로 51,",2층,3층 (답십리동)",입시.검정 및 보습,208
동대문구,학원,AM뮤직(music)음악학원,서울특별시 동대문구 한천로 264,주공프라자상가2층202호 (휘경동),예능(대),93
동대문구,교습소,리틀쇼팽음악교습소,서울특별시 동대문구 천호대로91길 38,", 2층일부 (장안동)",예능(대),40
동대문구,교습소,공간미술교습소,서울특별시 동대문구 제기로 131,", 205호, 206호 (청량리동, 한신아파트)",예능(대),42
동대문구,교습소,비움채움아트미술교습소,서울특별시 동대문구 사가정로 80,", 2층 216호 (답십리동)",예능(대),18
동대문구,교습소,대성독서논술리딩게임논술교습소,서울특별시 동대문구 서울시립대로 31,동아아파트 상가 206호 (전농동),입시.검정 및 보습,11
동대문구,교습소,꽃들음악교습소,서울특별시 동대문구 한천로33길 26,1층일부 (장안동),예능(대),20
동대문구,학원,고은소리피아노음악학원,서울특별시 동대문구 사가정로23가길 19,2층 (장안동),예능(대),280
동대문구,학원,리드앤톡영어독서학원,서울특별시 동대문구 답십리로69길 55,"웰빙프라자4층,403호 (장안동)",입시.검정 및 보습,280
동대문구,학원,강의하는아이들위너스장안캠퍼스학원,서울특별시 동대문구 장안벚꽃로 107,", 301호일부,305호 (장안동, 장안현대홈타운)",입시.검정 및 보습,87
동대문구,교습소,오예진피아노교습소,서울특별시 동대문구 전농로36나길 4,1층일부 (전농동),예능(대),15
동대문구,교습소,해오름피아노교습소,서울특별시 동대문구 장한로18길 40,4층 (장안동),예능(대),24
동대문구,교습소,꿈을그리는미술교습소,서울특별시 동대문구 사가정로 148,SK@주상가동138동304-1호 (전농동),예능(대),45
동대문구,교습소,리틀엔젤음악교습소,서울특별시 동대문구 망우로10길 43,1층(일부) (휘경동),예능(대),30
동대문구,교습소,멘토수학교습소,서울특별시 동대문구 약령중앙로 55,1층일부 (제기동),입시.검정 및 보습,15
동대문구,학원,한건이엔씨영어학원,서울특별시 동대문구 답십리로 255,", 4층 일부(우측)?5층?6층 일부 (장안동)",입시.검정 및 보습,244
동대문구,학원,CDI에이프릴(April)어학원,서울특별시 동대문구 답십리로69길 55,", 201호~205호?208호 (장안동)",국제화,72
동대문구,학원,플러스수학학원,서울특별시 동대문구 이문로 88-13,", 3층 (이문동)",입시.검정 및 보습,155
동대문구,교습소,지해수학교습소,서울특별시 동대문구 경희대로4길 74,", 3층 (회기동)",입시.검정 및 보습,15
